,Title,File No,Sentence,Sentence Length,Similariy to Title,Sentence Position,Sentence Cohesion,Main Concept,Proper Noun Appearance,In Summary
0,ad sales boost time warner profit,1,"quarterly profits at us media giant timewarner jumped 76% to $1.13bn (â£600m) for the three months to december, from $639m year-earlier.",0.5675675675675675,0.0,0.05,0.8015702704445427,1,0,0
1,ad sales boost time warner profit,1,"the firm, which is now one of the biggest investors in google, benefited from sales of high-speed internet connections and higher advert sales.",0.6216216216216216,0.14907119849998599,0.1,0.8749123489494314,1,1,0
2,ad sales boost time warner profit,1,timewarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.,0.2972972972972973,0.11322770341445959,0.15,0.6180417070413119,1,0,1
3,ad sales boost time warner profit,1,"its profits were buoyed by one-off gains which offset a profit dip at warner bros, and less users for aol.",0.5405405405405406,0.17817416127494962,0.2,0.6960998680322407,1,0,1
4,ad sales boost time warner profit,1,time warner said on friday that it now owns 8% of search-engine google.,0.35135135135135137,0.2182178902359924,0.25,0.589618117817942,1,1,0
5,ad sales boost time warner profit,1,"but its own internet business, aol, had has mixed fortunes.",0.2702702702702703,0.0,0.3,0.4247827574733386,1,0,0
6,ad sales boost time warner profit,1,"it lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",0.4594594594594595,0.0,0.35,0.7661299923847128,1,0,1
7,ad sales boost time warner profit,1,"however, the company said aol's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",0.5405405405405406,0.08512565307587487,0.4,0.7963527212579996,1,0,1
8,ad sales boost time warner profit,1,it hopes to increase subscribers by offering the online service free to timewarner internet customers and will try to sign up aol's existing customers for high-speed broadband.,0.7297297297297297,0.0,0.45,0.9661501462681192,1,0,0
9,ad sales boost time warner profit,1,"timewarner also has to restate 2000 and 2003 results following a probe by the us securities exchange commission (sec), which is close to concluding.",0.6486486486486487,0.0,0.5,0.9228434845496851,1,1,0
10,ad sales boost time warner profit,1,time warner's fourth quarter profits were slightly better than analysts' expectations.,0.2972972972972973,0.23570226039551587,0.55,0.4230146474058117,1,0,1
11,ad sales boost time warner profit,1,"but its film division saw profits slump 27% to $284m, helped by box-office flops alexander and catwoman, a sharp contrast to year-earlier, when the third and final film in the lord of the rings trilogy boosted results.",1.0,0.0,0.6,1.0,1,0,0
12,ad sales boost time warner profit,1,"for the full-year, timewarner posted a profit of $3.36bn, up 27% from its 2003 performance, while revenues grew 6.4% to $42.09bn.",0.5675675675675675,0.08164965809277261,0.65,0.8688697079818709,1,0,1
13,ad sales boost time warner profit,1,"""our financial performance was strong, meeting or exceeding all of our full-year objectives and greatly enhancing our flexibility,"" chairman and chief executive richard parsons said.",0.6756756756756757,0.0,0.7,0.455301661063861,1,0,0
14,ad sales boost time warner profit,1,"for 2005, timewarner is projecting operating earnings growth of around 5%, and also expects higher revenue and wider profit margins.",0.5405405405405406,0.08703882797784893,0.75,0.6076383517182556,1,0,1
15,ad sales boost time warner profit,1,timewarner is to restate its accounts as part of efforts to resolve an inquiry into aol by us market regulators.,0.5405405405405406,0.0,0.8,0.836377509083379,1,0,0
16,ad sales boost time warner profit,1,"it has already offered to pay $300m to settle charges, in a deal that is under review by the sec.",0.5405405405405406,0.0,0.85,0.92352347309257,1,0,0
